,layer_cre,layer,cell_list,true_label,Diff_spread,Spread,W_dist,PL_dist,cre_lines,cell_type,A,W,TPW,Rslope,REP,spread_below,spread_above,W_below,W_above,PL_below,PL_above,label,str_label
20,L5_Pvalb,L5,396608557,Pvalb,0.8335833583357726,41.23162316231628,0.08399554317670252,1.72005507493621,Pvalb,0,57.87262164484686,0.20237357069040213,0.5457712437910458,125.083935122297,0.3824382438243825,20.199019901990255,21.032603260326027,-6.989638357775173,6.870850721435784,-9.124642622992463,11.55716783799592,2,FS3
21,L23_Pvalb,L23,333604946,Pvalb,0.9530953095309088,45.17551755175509,0.024584061417571485,0.2784486400837539,Pvalb,0,51.059710229406356,0.27806447311397786,0.7298196486315298,54.586096503040594,0.5162916291629163,22.111211121112085,23.064306430643,-7.654559395333476,7.689326508408419,-15.985387427631652,15.591601584400866,0,FS1
22,L5_Pvalb,L5,330080937,Unknown,0.9530953095309088,46.131613161316174,3.184831012116741,0.06060654030026634,Pvalb,0,52.430318081548464,0.2294629462946293,0.5848118145147847,86.9301003253194,0.4501616828349504,22.58925892589264,23.542354235423545,-7.109633185540779,2.6056019743388523,-5.21868853552022,5.132977944259072,1,FS2
23,L4_Pvalb,L4,318331342,Unknown,-3.1103110311031514,47.32673267326743,0.9432426342506076,3.1665636887022943,Pvalb,0,32.527916990254,0.2756742340900757,0.7346001266793345,37.53651714407489,0.45016168283495,25.218521852185287,22.10821082108214,-6.191443386762918,4.857496860797183,-17.10831689229529,12.630119577614328,0,FS1
24,L5_Sst,L5,485058595,Unknown,-1.915191519151904,39.1999199919992,3.4290375666545883,7.641545757295381,Sst,0,30.755860413217782,0.2222922292229224,0.6206653998733205,51.249783646160346,0.38004800480048,20.55755575557555,18.642364236423646,-4.666657141904668,9.516048574554425,-3.378204487115382,14.18498213457709,2,FS3
25,L5_Sst,L5,482690728,Unknown,4.9774977497750115,57.12671267126712,5.1401175080574015,10.041564753185877,Sst,0,42.898329845330366,0.2254792145881255,0.6063239657299064,77.40663992368641,0.4238690535720235,26.07460746074605,31.05210521052107,-0.4056163192076788,7.674840211293852,-0.1216848957623018,14.322601957165412,2,FS3
26,L5_Sst,L5,478396248,Unknown,3.3433343334332903,49.238923892389145,1.2599331476505784,5.64613943890244,Sst,0,37.90765616313699,0.2597393072640597,0.7369903657032371,43.368422919878604,0.4955762242890955,22.94779477947793,26.291129112911214,-4.744262305018379,2.962447759927509,-9.430579421578523,1.4457324520330757,1,FS2
27,L5_Sst,L5,466664172,Unknown,-9.644464446444658,44.81698169816978,4.8214027118224525,9.041959255903528,Sst,0,22.42791105993213,0.30913758042470896,0.7194619461946195,18.101887996649047,0.4971697169716971,27.230723072307228,17.58625862586257,-8.798976867383706,1.9804837626619736,-15.077338036833988,2.2900766267102792,1,FS2
28,L23_Sst,L23,485466109,Unknown,16.928692869286806,54.01940194019404,4.337038168416711,6.787859346780218,Sst,0,21.27190699041756,0.2939993999399941,0.8405673900723407,19.713218447652768,0.5569256925692567,18.545354535453612,35.474047404740425,-3.498440753166224,9.631938951470907,-6.951973985277316,16.551456732974874,2,FS3
29,L23_Sst,L23,473540161,Sst,-8.249324932493321,61.30963096309631,2.54854770028833,6.826174386945902,Sst,0,95.12910526905851,0.2246824682468247,0.7314131413141314,169.6153256180237,0.5131046437977131,34.77947794779482,26.53015301530149,-1.6717186870202176,5.275909409122736,-0.5186094367012448,10.172277833843989,2,FS3
30,L23_Sst,L23,324493977,Sst,16.250625062506288,63.58035803580356,7.490968381112758,13.298952891014205,Sst,0,45.46583060141285,0.2669100243357669,0.7075107510751075,48.85935281163403,0.4485681901523484,23.664866486648634,39.91549154915492,0.8952531616798073,9.698575918197884,0.2477156806589728,18.5598438631742,2,FS3
31,L6a_Sst,L6a,476104386,Unknown,1.7896789678967482,45.29502950295034,0.21425692416008926,7.6132057976056835,Sst,0,54.890003305512465,0.22308897556422336,0.6198686535320199,94.21302644592815,0.4310397706437312,21.752675267526804,23.542354235423545,-7.104080104980192,7.407085152959735,-12.992277005478327,2.2255781133668937,1,FS2
32,L6a_Sst,L6a,313862306,Unknown,-6.217621762176349,52.34623462346235,0.8076888511564921,2.7542684920117626,Sst,0,48.69243314789261,0.2589425609227589,0.6597059705970598,62.20782571757029,0.4836250291695836,29.28192819281935,23.064306430643,-3.47091678864856,4.613161316131615,-10.903835838129272,7.008711982309344,1,FS2
